Date,Price
2014-01-02,150.28353881835938
2014-01-03,150.25889587402344
2014-01-06,149.8234405517578
2014-01-07,150.74363708496094
2014-01-08,150.77647399902344
2014-01-09,150.87503051757812
2014-01-10,151.28585815429688
2014-01-13,149.27296447753906
2014-01-14,150.89967346191406
2014-01-15,151.7130889892578
2014-01-16,151.515869140625
2014-01-17,150.87503051757812
2014-01-21,151.31871032714844
2014-01-22,151.4173126220703
2014-01-23,150.17674255371094
2014-01-24,146.9725799560547
2014-01-27,146.24957275390625
2014-01-28,147.12045288085938
2014-01-29,145.70730590820312
2014-01-30,147.25192260742188
2014-01-31,146.38922119140625
2014-02-03,143.0946502685547
2014-02-04,144.09701538085938
2014-02-05,143.91627502441406
2014-02-06,145.8141326904297
2014-02-07,147.62159729003906
2014-02-10,147.89276123046875
2014-02-11,149.51126098632812
2014-02-12,149.58517456054688
2014-02-13,150.357421875
2014-02-14,151.18722534179688
2014-02-18,151.36802673339844
2014-02-19,150.36572265625
2014-02-20,151.25302124023438
2014-02-21,151.08047485351562
2014-02-24,151.91845703125
2014-02-25,151.86094665527344
2014-02-26,151.8691864013672
2014-02-27,152.6661376953125
2014-02-28,153.05223083496094
2014-03-03,151.97596740722656
2014-03-04,154.11209106445312
2014-03-05,154.2517852783203
2014-03-06,154.60501098632812
2014-03-07,154.6707763671875
2014-03-10,154.58860778808594
2014-03-11,153.8245391845703
2014-03-12,153.86563110351562
2014-03-13,152.1402587890625
2014-03-14,151.7130889892578
2014-03-17,153.08514404296875
2014-03-18,154.17784118652344
2014-03-19,153.3562469482422
2014-03-20,154.2517852783203
2014-03-21,153.6534423828125
2014-03-24,153.01806640625
2014-03-25,153.74423217773438
2014-03-26,152.63845825195312
2014-03-27,152.31666564941406
2014-03-28,153.06761169433594
2014-03-31,154.32191467285156
2014-04-01,155.34515380859375
2014-04-02,155.8650360107422
2014-04-03,155.65875244140625
2014-04-04,153.81854248046875
2014-04-07,152.1186065673828
2014-04-08,152.7457275390625
2014-04-09,154.38796997070312
2014-04-10,151.1448974609375
2014-04-11,149.7832489013672
2014-04-14,150.96328735351562
2014-04-15,152.00306701660156
2014-04-16,153.59576416015625
2014-04-17,153.81027221679688
2014-04-21,154.3466339111328
2014-04-22,155.048095703125
2014-04-23,154.68496704101562
2014-04-24,154.99856567382812
2014-04-25,153.72775268554688
2014-04-28,154.21461486816406
2014-04-29,154.93252563476562
2014-04-30,155.39463806152344
2014-05-01,155.4111328125
2014-05-02,155.18838500976562
2014-05-05,155.48541259765625
2014-05-06,154.132080078125
2014-05-07,155.03982543945312
2014-05-08,154.87474060058594
2014-05-09,155.10589599609375
2014-05-12,156.61599731445312
2014-05-13,156.75624084472656
2014-05-14,156.0135955810547
2014-05-15,154.64369201660156
2014-05-16,155.18016052246094
2014-05-19,155.74951171875
2014-05-20,154.76751708984375
2014-05-21,156.07131958007812
2014-05-22,156.450927734375
2014-05-23,157.07809448242188
2014-05-27,158.04360961914062
2014-05-28,157.92811584472656
2014-05-29,158.74502563476562
2014-05-30,159.00082397460938
2014-06-02,159.18240356445312
2014-06-03,159.09983825683594
2014-06-04,159.42169189453125
2014-06-05,160.46142578125
2014-06-06,161.22889709472656
2014-06-09,161.39389038085938
2014-06-10,161.41038513183594
2014-06-11,160.84930419921875
2014-06-12,159.7105255126953
2014-06-13,160.19735717773438
2014-06-16,160.32943725585938
2014-06-17,160.7750244140625
2014-06-18,161.955078125
2014-06-19,162.1366424560547
2014-06-20,162.46575927734375
2014-06-23,162.416015625
2014-06-24,161.43763732910156
2014-06-25,162.16729736328125
2014-06-26,162.05117797851562
2014-06-27,162.3662872314453
2014-06-30,162.2833709716797
2014-07-01,163.36953735351562
2014-07-02,163.535400390625
2014-07-03,164.33969116210938
2014-07-07,163.76754760742188
2014-07-08,162.7145233154297
2014-07-09,163.4442138671875
2014-07-10,162.7974395751953
2014-07-11,163.02134704589844
2014-07-14,163.84219360351562
2014-07-15,163.535400390625
2014-07-16,164.14071655273438
2014-07-17,162.27505493164062
2014-07-18,163.9333953857422
2014-07-21,163.62657165527344
2014-07-22,164.33969116210938
2014-07-23,164.70448303222656
2014-07-24,164.71279907226562
2014-07-25,163.94171142578125
2014-07-28,164.00799560546875
